Category,ASIN,Overall rank,Overall rating,Star rating,Reliability,Ease of use,Battery life,App support,Available games,Book reading quality,Video playback quality,Screen quality,Safe for kids,Price,SIM support,SD card support,Camera quality,Performance,Gift idea,Tech Support,Lightweight
Tablet,B07XSNC6BD,1,8.92,8.20,7.83,5.45,5.05,5.09,5.75,5.42,7.33,8.06,5.44,7.77,4.46,5.06,6.92,5.74,5.63,5.00,5.00
Tablet,B07PTTWPN6,2,6.17,9.01,4.98,5.92,6.33,4.90,5.38,4.70,5.20,5.89,5.00,5.55,5.00,5.00,4.47,5.52,5.72,5.00,5.20
Tablet,B00ZY7ZUIG,3,5.82,8.31,5.00,6.82,8.64,5.00,5.00,5.00,5.00,5.00,5.00,4.13,5.00,5.00,5.00,5.91,5.00,5.00,5.00
Tablet,B07H8WS1FT,4,5.79,8.45,5.56,5.64,5.55,5.14,5.41,5.31,5.46,5.92,5.88,5.27,4.95,4.82,5.56,5.03,5.22,4.97,5.08
Tablet,B07K1RZWMC,5,5.57,7.99,5.40,4.02,6.38,4.53,5.15,5.76,6.37,6.70,5.07,5.25,4.88,5.07,5.42,5.09,5.34,4.51,5.11
Tablet,B07HKNCZQ1,6,5.29,8.12,5.54,6.20,3.45,5.00,5.34,5.00,5.00,4.02,5.00,4.98,5.00,5.00,5.00,5.00,6.69,5.00,5.97
Tablet,B07TXP5WMF,7,5.22,7.41,5.46,7.95,5.82,6.26,5.39,5.41,4.50,5.00,4.23,4.59,5.12,5.00,5.79,5.00,4.38,5.46,5.00
Tablet,B07Y1NHXC4,8,5.16,8.32,5.00,4.25,5.00,8.23,5.00,5.00,5.00,5.00,5.00,6.26,5.00,5.00,5.00,5.00,5.00,5.00,1.04
Tablet,B07FKR6KXF,9,4.88,7.73,5.49,4.84,4.01,4.12,5.00,5.38,5.23,5.01,5.12,6.03,4.99,5.00,5.38,5.02,5.34,4.86,5.06
Tablet,B07KD7K4B1,10,4.87,7.69,5.70,4.59,4.97,1.69,4.09,5.67,5.77,5.76,7.50,4.42,4.34,4.43,5.70,5.80,5.52,4.34,5.64
Tablet,B01EUC7NPI,11,4.77,7.05,5.19,5.86,5.56,4.35,6.00,5.87,5.33,5.54,5.31,5.79,5.00,4.35,5.19,5.00,5.00,5.00,5.00
Tablet,B0794PD8NR,12,4.62,7.83,5.50,5.85,4.28,4.14,4.08,5.16,4.65,3.56,5.00,6.39,4.95,4.56,5.29,5.00,4.99,4.95,5.00
Tablet,B0794RHPZD,13,3.44,6.55,5.36,2.60,4.95,2.66,4.50,5.11,5.59,4.61,4.96,5.03,4.67,4.90,5.33,4.98,4.94,4.75,5.10
Tablet,B07YM356V9,14,2.65,3.05,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,10.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Tablet,B01M6YJEAH,15,1.62,5.00,5.80,0.13,3.92,1.85,4.65,4.95,6.11,3.68,5.70,3.99,3.70,4.26,5.30,5.00,5.90,3.07,5.00
